District,Year,No. of RegisteredHousehold,No. of Registeres (Persons),No. of Jobcard deleted in current YR(Household),No. of Jobcard deleted in current YR(Persons),No. of Jobcard included in current YR(Household),No. of Jobcard included in current YR(Persons),Cumulative No. of HH issued jobcards(SCs),Cumulative No. of HH issued jobcards(STs),Cumulative No. of HH issued jobcards(Others) ,Cumulative No. of HH issued jobcards(Total) ,Employment demanded(Household),Employment demanded(Persons),Employment offered(Household),Employment offered(Persons),Employment Availed(Household),Employment Availed(Persons),Employment Availed(Total Persondays),Employment Availed(Persondays of Central Liability),Employment Availed(Persondays of States Liability),No. of Families Completed 100 days ,No. of HH which are beneficiary of land reform/IAY,No. of Disabled beneficiary individuals
ARIYALUR,2019-2020,179438,272370,501,2597,3608,6433,40761,2200,135314,178275,134044,162764,134003,162713,129214,155243,2531624,2531624,0,60,0,1292
COIMBATORE,2019-2020,172512,227088,1318,2902,5559,7950,55833,4737,104549,165119,71659,77059,71648,77046,65483,69333,3321401,3321401,0,604,0,262
CUDDALORE,2019-2020,460672,836349,3329,16627,6115,14812,168270,2537,283720,454527,351042,476469,350938,476316,341207,454461,8886045,8886045,0,548,0,4150
DHARMAPURI,2019-2020,243867,289567,1268,2662,8680,10996,37942,7363,194142,239447,152168,159555,152141,159524,144104,150131,3415012,3415012,0,66,0,935
DINDIGUL,2019-2020,334521,472796,1506,4059,12115,18767,86932,707,241537,329176,235045,269564,235040,269549,227160,256870,13824586,13824586,0,10923,0,2139
ERODE,2019-2020,210277,274976,986,1650,6768,8562,59182,3526,139869,202577,101168,108770,101164,108765,93124,98353,5360103,5360103,0,4157,0,1110
KANCHIPURAM,2019-2020,345712,479047,2865,8592,9958,13599,148887,6016,187445,342348,275341,316826,275330,316812,267913,302334,19621036,19621036,0,25263,0,2374
KANNIYAKUMARI,2019-2020,114248,148837,183,249,3479,4325,7066,692,101918,109676,33689,35735,33689,35735,32156,33621,1994175,1994175,0,5091,0,504
KARUR,2019-2020,149991,212359,915,3144,5952,10158,37773,36,110151,147960,106730,122985,106729,122988,102873,115807,6995361,6995361,0,5453,0,1104
KRISHNAGIRI,2019-2020,281515,331629,1890,5531,8038,10453,43602,2968,231636,278206,196866,205992,196858,205983,189477,197353,8166879,8166879,0,1309,0,2429
MADURAI,2019-2020,298996,394150,572,1658,4899,6261,67946,764,226922,295632,225927,251794,225917,251783,214441,235634,7066766,7066766,0,518,0,2651
NAGAPATTINAM,2019-2020,251394,440893,651,4163,6396,11081,115898,347,131049,247294,205606,288241,205599,288218,201154,276442,8754316,8754316,0,1799,0,1720
NAMAKKAL,2019-2020,235014,317546,1203,2545,6517,8929,67656,15488,147117,230261,137883,150022,137867,150004,133649,143993,6737657,6737657,0,2488,0,923
PERAMBALUR,2019-2020,123397,173676,288,874,2990,5199,39119,386,81935,121440,77420,89860,77387,89823,73270,84316,1870317,1870317,0,195,0,774
PUDUKKOTTAI,2019-2020,299456,494397,876,5558,9454,14645,58589,5,237183,295777,233841,263440,233839,263437,228646,254512,9595245,9595245,0,1997,0,1387
RAMANATHAPURAM,2019-2020,218138,312563,714,3042,4713,7240,56230,6,158529,214765,165160,190758,165159,190756,159583,181026,8146549,8146549,0,2986,0,1787
SALEM,2019-2020,448711,591546,1318,2755,11129,15184,91038,29231,315341,435610,211750,228441,211746,228435,202650,216921,8563501,8563501,0,2385,0,1861
SIVAGANGAI,2019-2020,207546,306217,309,1235,3853,5721,45214,19,160131,205364,151059,167638,151025,167593,144999,158236,7791350,7791350,0,3992,0,1966
THANJAVUR,2019-2020,315975,530532,1095,5043,10911,18544,92952,80,213960,306992,227678,283993,227675,283982,223094,273954,11728933,11728933,0,3194,0,2901
THE NILGIRIS,2019-2020,54759,70704,924,2330,1729,2599,18116,4050,31331,53497,28756,32089,28743,32073,25466,27697,1293964,1293964,0,244,0,189
THENI,2019-2020,141414,193860,318,615,3272,4322,35369,175,101839,137383,67767,75208,67763,75201,60604,66360,1645685,1645685,0,65,0,772
THOOTHUKKUDI,2019-2020,210140,291448,724,1903,4133,5964,66806,214,140215,207235,136971,152362,136963,152352,132032,144753,6987588,6987588,0,4978,0,1396
TIRUCHIRAPPALLI,2019-2020,329886,480841,527,2137,8940,13945,75157,3668,247502,326327,259566,299806,259523,299738,252960,287941,13013406,13013406,0,7056,0,2966
